ONE Detail Report

Date/Time: 1/24/2022 11:02:38
Filter: [Account] = 'IB1'
Grouping: Account

,Account,Expiration,TradeId,TradeName,Underlying,Status,TradeType,OpenDate,CloseDate,DaysToExpiration,DaysInTrade,Margin,Comms,PnL,PnLperc
,,Account,TradeId,Date,Transaction,Qty,Symbol,Expiry,Type,Description,Underlying,Price,Commission
IB1 
,,"IB1",287,12/22/2021 11:13:06 AM,Sell,4,SPX   220414P02775000,4/14/2022,Put,SPX Apr22 2775 Put,SPX,9.5692,4.56
,,"IB1",287,12/31/2021 10:30:00 AM,Buy,4,SPX   220414P03800000,4/14/2022,Put,SPX Apr22 3800 Put,SPX,27.41,4.49
,,"IB1",287,12/31/2021 10:30:00 AM,Sell,2,SPX   220414P04075000,4/14/2022,Put,SPX Apr22 4075 Put,SPX,44.42,2.24
,,"IB1",287,12/31/2021 10:30:00 AM,Sell,2,SPX   220414P03100000,4/14/2022,Put,SPX Apr22 3100 Put,SPX,9.8,2.24

,"IB1",12/23/2021,301,"hedge for 244 #285, #287, #294",SPX,Open,Custom,11/5/2021 10:15 AM,,48,80,-1.00,21.53,-2676.00,0.00
,,"IB1",301,11/5/2021 10:15:00 AM,Buy,1,SPXW  220101P03300000,12/31/2021,Put,SPX Dec21 3300 Put,SPX,2.7,1.6
,,"IB1",301,11/12/2021 10:10:00 AM,Buy,1,SPXW  211223P03200000,12/23/2021,Put,SPX Dec21 3200 Put,SPX,1.78,1.6
,,"IB1",301,11/12/2021 10:10:00 AM,Buy,1,SPXW  220108P03100000,1/7/2022,Put,SPX Jan22 3100 Put,SPX,2.76,1.6
,,"IB1",301,11/12/2021 11:00:00 AM,Buy,1,SPX,,Stock,SPX Stock,SPX,4660.05,0.005
,,"IB1",301,11/16/2021 3:40:00 PM,Buy,2,SPX,,Stock,SPX Stock,SPX,4709.21,0.01
,,"IB1",301,11/17/2021 3:30:00 PM,Buy,1,SPXW  220108P03200000,1/7/2022,Put,SPX Jan22 3200 Put,SPX,2.75,1.6
,,"IB1",301,11/26/2021 10:16:47 AM,Sell,3,SPX,,Stock,SPX Stock,SPX,4669.52,0.015
,,"IB1",301,11/29/2021 10:14:19 AM,Sell,1,SPXW  211223P03200000,12/23/2021,Put,SPX Dec21 3200 Put,SPX,2.4,1.14
,,"IB1",301,11/29/2021 10:18:39 AM,Buy,1,SPXW  220131P02750000,1/31/2022,Put,SPX Jan22 2750 Put,SPX,4.2,1.14
,,"IB1",301,11/29/2021 10:21:26 AM,Sell,1,SPXW  220108P03100000,1/7/2022,Put,SPX Jan22 3100 Put,SPX,3.8,1.14
,,"IB1",301,11/29/2021 10:22:55 AM,Buy,1,SPX   220122P02850000,1/21/2022,Put,SPX Jan22 2850 Put,SPX,3.9,1.14
,,"IB1",301,12/2/2021 10:18:56 AM,Sell,1,SPXW  220101P03300000,12/31/2021,Put,SPX Dec21 3300 Put,SPX,5.9,1.14
,,"IB1",301,12/2/2021 10:20:50 AM,Buy,1,SPXW  220115P02700000,1/14/2022,Put,SPX Jan22 2700 Put,SPX,4.5,1.14
,,"IB1",301,12/9/2021 10:11:47 AM,Buy,1,SPXW  220129P03000000,1/28/2022,Put,SPX Jan22 3000 Put,SPX,3.1,1.14
,,"IB1",301,12/9/2021 10:12:12 AM,Sell,1,SPXW  220108P03200000,1/7/2022,Put,SPX Jan22 3200 Put,SPX,1.6,1.14
,,"IB1",301,12/15/2021 11:57:40 AM,Buy,1,SPXW  220105P04150000,1/5/2022,Put,SPX Jan22 4150 Put,SPX,10.8,1.14
,,"IB1",301,12/15/2021 2:25:53 PM,Sell,1,SPXW  220105P04150000,1/5/2022,Put,SPX Jan22 4150 Put,SPX,8.9,1.14
,,"IB1",301,12/20/2021 9:48:32 AM,Sell,5,SPX,,Stock,SPX Stock,SPX,4586.91,0.025
,,"IB1",301,12/20/2021 10:56:59 AM,Sell,5,SPX,,Stock,SPX Stock,SPX,4553.75,0.025
,,"IB1",301,12/20/2021 12:37:09 PM,Sell,5,SPX,,Stock,SPX Stock,SPX,4538.78,0.025
,,"IB1",301,12/22/2021 9:51:25 AM,Buy,15,SPX,,Stock,SPX Stock,SPX,4653,0.075
,,"IB1",301,1/6/2022 10:11:09 AM,Sell,5,SPX,,Stock,SPX Stock,SPX,4679.56,0.025
,,"IB1",301,1/6/2022 10:46:13 AM,Buy,5,SPX,,Stock,SPX Stock,SPX,4703.81,0.025
,,"IB1",301,1/10/2022 11:51:47 AM,Sell,3,SPX,,Stock,SPX Stock,SPX,4603.29,0.015
,,"IB1",301,1/12/2022 10:13:40 AM,Buy,3,SPX,,Stock,SPX Stock,SPX,4745.97,0.015
